model,GiniIndex,GiniIndex_emb,interests,layers,weight,Coverage@10,Coverage@20,Coverage@5,Coverage@50,Entropy@10,Entropy@20,Entropy@5,Entropy@50,GiniIndex@10,GiniIndex@20,GiniIndex@5,GiniIndex@50,GiniIndex_emb@10,GiniIndex_emb@20,GiniIndex_emb@5,GiniIndex_emb@50,HitRate@10,HitRate@20,HitRate@5,HitRate@50,ILD@10,ILD@20,ILD@5,ILD@50,LongTailCoverage@10,LongTailCoverage@20,LongTailCoverage@5,LongTailCoverage@50,NDCG@10,NDCG@20,NDCG@5,NDCG@50,Novelty@10,Novelty@20,Novelty@5,Novelty@50
csar-listwise,0.5049291806274748,0.0756972318221704,64.0,,0.5,0.7093253968253969,0.816468253968254,0.5853174603174603,0.9434523809523809,8.840873108980922,9.04768965752671,8.632695149721162,9.345410253816468,0.6569385216773277,0.6031490083595628,0.7009404508071886,0.5049291806274748,0.08708537781380432,0.08678006954225637,0.08679099777777419,0.08435424851905675,0.08315565031982942,0.14818763326226012,0.042643923240938165,0.26545842217484006,1.0426407855456825,0.9894557334085518,1.1793000890629124,0.9663110508847592,0.05174825174825175,0.09356014580801944,0.0288135593220339,0.1587802313354364,0.04023621315910911,0.05657154823731114,0.02731630836763333,0.07989633613873061,4.403706294392375,4.509276788972206,4.3348520305905245,4.754706302502474
csar-bpr,0.6565974972078383,0.12542076511535022,64.0,,0.1,0.5853174603174603,0.7470238095238095,0.4503968253968254,0.9236111111111112,8.062975437331165,8.434211148848714,7.663053795598488,8.86652002394298,0.7988981537888787,0.7438153619656818,0.8443458726774292,0.6565974972078383,0.08592205613194015,0.08560699389384425,0.0880175964296865,0.0870064672116972,0.08528784648187633,0.15565031982942432,0.042643923240938165,0.3251599147121535,0.6819797999251371,0.6672027094214201,0.7802490229482082,0.7068200302022353,0.07966101694915254,0.11553784860557768,0.05066079295154185,0.16004296455424274,0.03970757355727694,0.05740716843727185,0.0260202663036018,0.09079297061846585,3.9377797140948005,4.089160353901136,3.826774904788134,4.339099307773304
csar-bpr,0.6180430331336515,0.10718521059511874,96.0,,0.1,0.7043650793650794,0.8363095238095238,0.5724206349206349,0.9573412698412699,8.423214816217117,8.67780655142716,8.154412794235718,9.011093773602983,0.7393371154431922,0.693912876095712,0.7798190171591024,0.6180430331336515,0.0711327259466085,0.06994271498432553,0.0728326640978518,0.07145302153937746,0.10980810234541578,0.17270788912579957,0.0650319829424307,0.30810234541577824,0.7926532945462635,0.7697062662351869,0.901291889930839,0.795927473349866,0.08028169014084507,0.11506524317912219,0.0658578856152513,0.1699481865284974,0.05492353525222414,0.0707324762362817,0.040448579358161055,0.09727496160093808,4.075075658066147,4.191344600165787,3.9849107240373955,4.418052192097153
pure-svd,0.6490272278065455,,,,,0.4712301587301587,0.5813492063492064,0.3958333333333333,0.7341269841269841,8.171329771468834,8.441622543918978,7.9490035110994395,8.85891732662634,0.7853322672352523,0.7405625994178766,0.8157469455443869,0.6490272278065455,0.0,0.0,0.0,0.0,0.10341151385927505,0.17270788912579957,0.06716417910447761,0.3070362473347548,0.0,0.0,0.0,0.0,0.0,0.0017064846416382253,0.0,0.014864864864864866,0.05362091121120739,0.07116190992706307,0.04198837695073565,0.09781030797775574,3.8596778848567306,4.005105079585498,3.7604243182882673,4.263837301212931
csar-bpr,0.6603464395708533,0.11751180551791907,96.0,,0.5,0.6220238095238095,0.7738095238095238,0.48313492063492064,0.9255952380952381,8.096518018304767,8.427250152412125,7.739283205335511,8.849628040615162,0.7934999746167124,0.7446169450367212,0.8346228043456189,0.6603464395708533,0.08298754877753611,0.08123265874056948,0.08360018763643622,0.08147317378223488,0.10021321961620469,0.15778251599147122,0.046908315565031986,0.3091684434968017,0.6942290963013289,0.6788515918163348,0.8016256241719606,0.7203511160129169,0.07496012759170653,0.1064102564102564,0.057494866529774126,0.1564844587352626,0.047613172323896766,0.06220606899644959,0.030373091704512998,0.09198713810718445,3.8838472991065114,4.026782340054262,3.763679802430308,4.279945216616613
csar-bpr,0.6840001099942464,0.13074526750673218,64.0,,0.5,0.5615079365079365,0.7083333333333334,0.3958333333333333,0.9017857142857143,7.8409392698698746,8.245325563597191,7.378004345033785,8.747136137065997,0.8252606017531391,0.7739423630148576,0.8692997597048769,0.6840001099942464,0.09112413550086226,0.08884099025592154,0.0943264484679507,0.08980330659338173,0.08848614072494669,0.16417910447761194,0.04371002132196162,0.3006396588486141,0.6399582583767011,0.6290534070051556,0.7383463621965604,0.6763295867740472,0.0636042402826855,0.08403361344537816,0.040100250626566414,0.14301430143014301,0.040356308675938986,0.05923131028845355,0.025986174999217276,0.08625848809290712,3.7543072247924227,3.931805450459118,3.5974712912042506,4.216269448738069
csar-sampled,0.5345802027278573,0.08517767819646341,64.0,,0.5,0.7242063492063492,0.8779761904761905,0.6081349206349206,0.9751984126984127,8.718197038541646,8.974232237139978,8.47416615303494,9.281000825665418,0.6855469675432362,0.6263281805259417,0.7321475107455918,0.5345802027278573,0.06513113264443288,0.06652572022985212,0.06521114053726372,0.06911201276863371,0.1023454157782516,0.1695095948827292,0.05650319829424307,0.31769722814498935,0.9940734815114597,0.9449163062104793,1.1256297159550794,0.9282687390282718,0.08082191780821918,0.1344632768361582,0.040783034257748776,0.18311291963377416,0.05175261402699276,0.06864911194227645,0.037006558157585454,0.09762101387780003,4.250889270408635,4.411029313133165,4.123762970018836,4.677780312434344
ItemKNN,0.8737634954479304,,,,,0.17956349206349206,0.2390873015873016,0.14285714285714285,0.37003968253968256,6.21457336218037,6.7084359235417095,5.768464427734837,7.424047863072922,0.9452298456696111,0.9229554819440214,0.9591460215927167,0.8737634954479304,0.0,0.0,0.0,0.0,0.09488272921108742,0.15458422174840086,0.05863539445628998,0.2579957356076759,0.0,0.0,0.0,0.0,0.0,0.004149377593360996,0.0,0.00804289544235925,0.04678440021347998,0.061546609707416086,0.03500436908061251,0.08159907794153252,3.0526328839388865,3.197960057227156,2.9295982541087735,3.4602763635213925
random-rec,0.08956573425390056,,,,,1.0,1.0,0.9920634920634921,1.0,9.90341816658389,9.936660841043897,9.815833673729053,9.958655920199607,0.17623299319727892,0.13270890445730532,0.2577376721833012,0.08956573425390056,0.0,0.0,0.0,0.0,0.01279317697228145,0.026652452025586353,0.005330490405117271,0.0650319829424307,0.0,0.0,0.0,0.0,0.19940476190476192,0.19940476190476192,0.2,0.19940476190476192,0.0058214934356166275,0.009390481564586623,0.003329650984317379,0.017001693463193097,6.021574984083186,6.017723164003519,6.0197354739102105,6.026987956194942
csar-sampled,0.5905539902528175,0.07326202875421516,96.0,,0.5,0.6636904761904762,0.8095238095238095,0.5148809523809523,0.9543650793650794,8.433397190665914,8.721773539967195,8.150510769746344,9.110639600443065,0.7438430720546926,0.6883054963278844,0.787738179849054,0.5905539902528175,0.060860086448658327,0.06080861071082809,0.06150107377545552,0.06122615450226401,0.10021321961620469,0.18230277185501065,0.05970149253731343,0.3326226012793177,0.9709732263708419,0.9256806601085135,1.0990711135396571,0.9165624021721293,0.05680119581464873,0.09926470588235294,0.028901734104046242,0.16735966735966737,0.04744519800281492,0.06787110798855701,0.034668355151971315,0.09748700841376008,3.9731134301450575,4.152287615843383,3.834762772189863,4.464200804739255
